name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Mohammad Yahya,12,4,175.26,65.77,185.42,Switch,29,2.87,0.46,4.07,0.37,1,1,0.42,1
Trevor Peek,9,1,175.26,70.31,177.8,Switch,29,5.09,0.56,4.37,0.44,1.76,0.5,0.51,0
Abu Azaitar,14,4,175.26,83.91,193.04,Orthodox,38,4.38,0.43,4.32,0.51,1,0.37,0.42,0
Sedriques Dumas,9,1,187.96,83.91,200.66,Orthodox,28,1.88,0.49,2.01,0.56,0.77,0.5,0.4,0.4
Mike Breeden,11,6,177.8,70.31,177.8,Orthodox,34,5.75,0.45,7.28,0.42,0.98,0.3,0.67,0
Anshul Jubli,7,1,182.88,70.31,175.26,Switch,29,6.48,0.46,5.61,0.51,0.82,0.18,0.63,0.4
Nathaniel Wood,20,6,167.64,65.77,175.26,Orthodox,30,5.91,0.5,4.22,0.56,1.74,0.48,0.7,0.5
Viktoriia Dudakova,8,0,165.1,56.7,170.18,Orthodox,25,3.14,0.52,2.45,0.5,2.45,0.41,0.5,0
Jinh Yu Frey,11,10,160.02,52.16,165.1,Southpaw,38,2.97,0.43,4.23,0.52,1.02,0.36,0.9,0.3
Shara Magomedov,12,0,187.96,83.91,185.42,Orthodox,29,7.53,0.73,4.33,0.28,0,0,0.57,0
Bruno Silva,23,10,182.88,83.91,187.96,Orthodox,34,4.43,0.51,5.33,0.43,1.09,0.27,0.73,0
Sodiq Yusuff,13,3,175.26,65.77,180.34,Orthodox,30,5.72,0.49,4.33,0.54,0.28,0.2,0.62,0.4
Edson Barboza,24,11,180.34,65.77,190.5,Orthodox,38,4.18,0.45,4.34,0.57,0.48,0.5,0.75,0.1
Jennifer Maia,21,10,162.56,56.7,162.56,Orthodox,35,4.35,0.38,4.52,0.55,0.42,0.27,0.58,0.1
Jonathan Martinez,19,4,172.72,61.23,177.8,Southpaw,29,4.64,0.5,3.76,0.58,0.44,0.41,0.69,0.1
Adrian Yanez,16,5,170.18,61.23,177.8,Orthodox,30,6.15,0.39,5.73,0.57,0,0,1,0
Andre Petroski,10,3,182.88,83.91,185.42,Switch,32,3.61,0.51,3.03,0.51,4.48,0.54,0.71,2.5
Darren Elkins,28,11,177.8,65.77,180.34,Orthodox,39,3.44,0.38,3.27,0.52,2.85,0.35,0.56,1.1
TJ Brown,17,11,175.26,65.77,182.88,Switch,33,3.37,0.44,2.89,0.49,3.41,0.57,0.36,1.3
Tainara Lisboa,7,2,170.18,61.23,170.18,Orthodox,33,2.05,0.5,1.4,0.54,2.05,0.4,0.7,0.5
Ravena Oliveira,7,2,165.1,61.23,165.1,Orthodox,27,1,0.48,1.2,0.48,2,0.66,0.62,0
Terrance McKinney,15,6,177.8,70.31,185.42,Switch,29,4.46,0.52,2.51,0.44,3.52,0.36,0.85,1
Brendon Marotte,8,2,175.26,65.77,177.8,Orthodox,28,3,1,42,0.33,0,0,0,0
Irina Alekseeva,5,2,172.72,61.23,170.18,Orthodox,33,3.84,0.43,3.55,0.48,0.87,0.2,1,0.9
Melissa Dixon,6,0,170.18,61.23,172.72,Orthodox,32,3.47,0.54,3.2,0.55,0,0,0.75,0
Alatengheili,16,9,165.1,61.23,167.64,Orthodox,32,2.88,0.33,5.03,0.58,1.82,0.4,0.72,0
Ashley Yoder,8,9,170.18,52.16,175.26,Southpaw,36,3.42,0.39,4.13,0.47,1.09,0.27,0.66,0.6
Emily Ducote,13,8,157.48,52.16,160.02,Orthodox,30,6.93,0.48,7.98,0.56,0.25,0.14,0.92,0
Grant Dawson,20,2,177.8,70.31,182.88,Switch,30,2.97,0.51,2.27,0.45,3.68,0.36,0.4,1.5
Abdul Razak Alhassan,12,6,177.8,83.91,185.42,Orthodox,38,3.37,0.48,3.99,0.55,0.89,0.38,0.5,0.2
Alex Morono,23,9,180.34,77.11,182.88,Orthodox,33,5.02,0.41,4.17,0.58,0.34,0.22,0.5,0.3
Joaquin Buckley,17,6,177.8,77.11,193.04,Southpaw,29,3.87,0.33,3.31,0.57,1.51,0.36,0.65,0
Ricky Glenn,22,8,182.88,70.31,177.8,Southpaw,34,3.94,0.43,4.1,0.51,0.55,0.13,0.68,0.4
Alexander Hernandez,14,7,175.26,65.77,182.88,Orthodox,31,4.63,0.41,4.9,0.56,1.2,0.31,0.6,0.1
Bill Algeo,18,7,182.88,65.77,185.42,Switch,34,6.11,0.52,4.41,0.47,0.89,0.46,0.56,0.1
Karolina Kowalkiewicz,16,7,160.02,52.16,162.56,Orthodox,38,5.92,0.43,5.55,0.59,0.36,0.26,0.74,0.2
Nate Maness,15,3,177.8,56.7,182.88,Orthodox,32,2.33,0.48,4.29,0.4,0.87,0.75,0.78,0.3
Vanessa Demopoulos,10,5,157.48,52.16,149.86,Orthodox,35,3.44,0.43,5.06,0.43,0.49,0.13,0.3,0.7
Kanako Murata,12,3,154.94,52.16,157.48,Orthodox,30,2.15,0.56,2.4,0.53,3.38,0.56,1,0.8
Aoriqileng,25,10,170.18,61.23,175.26,Orthodox,30,5.31,0.5,6.03,0.47,1.45,0.46,0.58,0
Johnny Munoz,12,4,175.26,61.23,180.34,Orthodox,31,2.44,0.36,2.66,0.55,2.4,0.25,0.45,1.8
Montana De La Rosa,12,9,170.18,56.7,172.72,Orthodox,29,2.7,0.36,3.21,0.44,1.71,0.31,0.64,0.8
JJ Aldrich,13,6,165.1,56.7,170.18,Southpaw,31,4.05,0.46,4.53,0.6,0.71,0.25,0.66,0
Rafael Fiziev,12,3,172.72,70.31,180.34,Switch,31,4.9,0.51,4.97,0.49,0.29,0.4,0.89,0
Marina Rodriguez,17,3,167.64,52.16,165.1,Orthodox,36,4.77,0.48,2.89,0.56,0.25,0.42,0.66,0.2
Michelle Waterson-Gomez,18,12,160.02,52.16,157.48,Orthodox,38,3.56,0.46,4.19,0.49,1.42,0.32,0.7,0.7
Bryan Battle,11,2,185.42,77.11,195.58,Orthodox,29,4.52,0.51,3.74,0.44,1.12,0.28,0.47,0.6
AJ Fletcher,10,3,177.8,77.11,170.18,Switch,27,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9
Tim Means,33,15,187.96,77.11,190.5,Orthodox,40,5.1,0.49,3.65,0.6,1.16,0.42,0.65,0.2
Andre Fialho,16,8,182.88,77.11,187.96,Orthodox,29,3.3,0.41,6.26,0.45,0.25,1,0.66,0
Jacob Malkoun,7,3,175.26,83.91,185.42,Orthodox,28,3.89,0.56,2.49,0.5,7.2,0.44,0,0.5
Jake Collier,13,10,190.5,104.33,198.12,Orthodox,35,5.8,0.44,5.08,0.5,0.71,0.33,0.67,0.6
Mizuki,15,6,160.02,52.16,165.1,Orthodox,29,4.56,0.5,5.62,0.48,0.33,0.14,0.85,0
Hannah Goldy,6,4,162.56,52.16,154.94,Orthodox,31,5.19,0.47,4.67,0.5,0.66,0.12,0.54,0.2
Tamires Vidal,7,2,167.64,61.23,172.72,Orthodox,25,4.25,0.55,4.53,0.58,0,0,0.4,0.8
Raul Rosas Jr.,8,1,175.26,61.23,170.18,Switch,19,1.28,0.44,1.52,0.46,3.57,0.33,0,1.8
Terrence Mitchell,14,4,177.8,61.23,187.96,Orthodox,34,2.21,0.34,8.85,0.41,3.69,0.5,0,0
Christos Giagos,20,11,177.8,70.31,180.34,Orthodox,34,2.98,0.42,2.95,0.51,2.93,0.37,0.52,0.4
Kyle Nelson,15,5,180.34,65.77,180.34,Switch,32,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7
Elise Reed,7,4,160.02,52.16,160.02,Orthodox,31,2.66,0.49,3.06,0.52,0.58,0.6,0.42,0
Josh Fremd,11,5,193.04,83.91,193.04,Orthodox,30,2.93,0.43,2.63,0.47,0.84,0.25,0.31,1.4
Tracy Cortez,11,1,165.1,56.7,165.1,Orthodox,30,4.11,0.53,2.79,0.6,2.33,0.46,0.75,0.3
Alex Reyes,13,4,180.34,70.31,185.42,Orthodox,37,4.04,0.39,10.91,0.4,0,0,0,0
Charlie Campbell,8,2,182.88,70.31,182.88,Orthodox,28,11.03,0.54,5.42,0.6,0,0,1,0
Josefine Knutsson,7,0,160.02,52.16,152.4,Orthodox,28,3.73,0.52,1.33,0.64,2.67,0.72,1,0
Marnic Mann,6,2,152.4,52.16,162.56,Southpaw,31,1.1,0.42,4.93,0.31,1.83,0.3,0.16,0
Israel Adesanya,24,3,193.04,83.91,203.2,Switch,34,3.93,0.48,3.11,0.56,0.05,0.14,0.77,0.1
Alexander Volkov,37,10,200.66,113.4,203.2,Orthodox,35,5.1,0.57,3,0.54,0.49,0.63,0.73,0.2
Manel Kape,19,6,165.1,56.7,172.72,Southpaw,30,5.12,0.54,4.51,0.59,0.65,0.37,0.77,0.4
Austen Lane,12,4,198.12,111.13,203.2,Orthodox,36,4.48,0.47,2.85,0.48,0,0,0,0
Anton Turkalj,8,3,193.04,92.99,198.12,Orthodox,27,1.72,0.53,2.48,0.49,6.55,0.51,0.16,0
Carlos Ulberg,10,1,193.04,92.99,195.58,Orthodox,33,7.29,0.59,3.59,0.52,0.95,0.75,0.75,0.3
Da Woon Jung,15,5,193.04,92.99,198.12,Orthodox,30,3.49,0.43,3.89,0.51,1.9,0.5,0.77,0.2
Jack Jenkins,12,3,170.18,65.77,172.72,Switch,30,4.43,0.61,3.07,0.59,2.56,0.69,0.75,0
Chepe Mariscal,15,6,170.18,65.77,175.26,Orthodox,31,4.67,0.53,3.95,0.52,3.22,0.38,1,0.6
John Makdessi,18,9,172.72,70.31,172.72,Orthodox,38,5.52,0.49,4.15,0.68,0,0,0.86,0
Blood Diamond,3,3,180.34,77.11,193.04,Switch,35,3.12,0.55,2.17,0.48,0,0,0.73,0
Shane Young,13,8,172.72,65.77,182.88,Orthodox,30,5.19,0.4,5.46,0.52,0.63,0.18,0.64,0
Gabriel Miranda,17,6,180.34,65.77,180.34,Orthodox,34,3.52,0.51,6.88,0.39,4.8,0.4,0,2.4
Kiefer Crosbie,10,4,180.34,77.11,177.8,Switch,33,8.1,0.66,6.02,0.5,0,0,0,0
Ciryl Gane,12,2,193.04,111.13,205.74,Orthodox,33,5.49,0.6,2.19,0.63,0.58,0.21,0.5,0.5
Serghei Spivac,16,4,190.5,117.93,198.12,Orthodox,29,3.54,0.49,3.79,0.49,4.56,0.64,0.7,0.5
Manon Fiorot,11,1,170.18,56.7,165.1,Orthodox,34,6.05,0.39,3.31,0.69,1.36,0.46,0.91,0
Volkan Oezdemir,19,7,187.96,92.99,190.5,Orthodox,34,4.59,0.47,3.92,0.55,0.57,0.33,0.8,0.1
William Gomis,13,2,182.88,65.77,185.42,Southpaw,26,2.62,0.46,1.49,0.75,1.06,0.6,0.81,0.7
Yanis Ghemmouri,12,2,175.26,61.23,175.26,Orthodox,29,2.27,0.38,4.22,0.4,0,0,0,0
Morgan Charriere,19,9,172.72,65.77,175.26,Orthodox,28,6.75,0.53,2.34,0.78,0,0,0,0
Manolo Zecchini,11,4,172.72,65.77,172.72,Orthodox,27,2.34,0.21,6.75,0.46,0,0,0,0
Caolan Loughran,8,1,167.64,61.23,172.72,Orthodox,27,3.2,0.36,5.6,0.48,2,0.18,0,0
Ange Loosa,10,3,177.8,77.11,187.96,Orthodox,31,6.09,0.46,6.67,0.52,2.05,0.42,0.9,0.2
Rhys McKee,13,5,187.96,77.11,198.12,Orthodox,28,6.06,0.48,9.47,0.44,0,0,0.33,0
Nora Cornolle,7,1,170.18,61.23,170.18,Orthodox,34,2.67,0.51,1.2,0.57,0,0,0.37,0
Joselyne Edwards,13,5,172.72,61.23,177.8,Orthodox,28,4.71,0.52,3.36,0.5,1,0.33,0.64,0.3
