winner,r_stance,b_stance,career_wins_diff,career_losses_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_diff,SApM_diff,sig_str_acc_diff,td_acc_diff,str_def_diff,td_def_diff,sub_avg_diff,td_avg_diff
Blue,Switch,Orthodox,15,1,-2,0,-9.079999999999998,2.539999999999992,-1.0699999999999998,-0.54,-0.14,-0.86,0.06000000000000005,0.07000000000000006,-0.30000000000000004,-0.14
Blue,Orthodox,Switch,-4,4,2,-7.6200000000000045,0,0,-3.7800000000000002,-0.75,-0.10999999999999999,-0.07,0.020000000000000018,-0.19000000000000006,-0.10000000000000003,0.9300000000000002
Red,Southpaw,Orthodox,7,0,-2,2.539999999999992,0,2.539999999999992,0.5600000000000005,-0.21999999999999975,0.04999999999999999,-0.020000000000000018,0.07,-0.07999999999999996,0.4999999999999999,-0.8399999999999999
Blue,Orthodox,Orthodox,3,5,10,-7.6200000000000045,0,2.539999999999992,-1.0299999999999998,0.029999999999999805,-0.17999999999999994,0.010000000000000009,0.020000000000000018,-0.039999999999999925,0.19999999999999998,2.01
Red,Switch,Southpaw,10,8,7,5.079999999999984,0,7.6200000000000045,3.52,1.98,-0.010000000000000009,-0.019999999999999962,0.04999999999999999,0.20000000000000007,-0.7999999999999999,-2.38
Blue,Orthodox,Orthodox,-8,-1,-2,-10.159999999999997,0,-2.539999999999992,0.2999999999999998,-0.27,0.06000000000000005,-0.10999999999999999,-0.06999999999999995,-0.08999999999999997,-0.6,-0.030000000000000027
Blue,Southpaw,Orthodox,-9,-5,2,-2.5400000000000205,0,-5.079999999999984,1.33,-0.14000000000000012,0.09999999999999998,-0.06999999999999995,0.02999999999999997,0.33000000000000007,-1.1,-0.93
Red,Orthodox,Orthodox,-2,-5,-9,0,4.540000000000006,10.159999999999997,-0.20999999999999996,-1.6200000000000006,0.030000000000000027,-0.020000000000000018,-0.010000000000000009,0.39999999999999997,0.6,1.0399999999999998
Red,Switch,Orthodox,-8,-5,5,0,6.799999999999997,2.539999999999992,0.3799999999999999,-1.1400000000000001,0,0.34,0.06,0.29,1.7,2.9300000000000006
Red,Orthodox,Switch,-2,2,-1,2.539999999999992,0,0,-2.0200000000000005,-1.3900000000000001,-0.09000000000000002,0.4,0.10999999999999999,-0.5800000000000001,0.9,2.59
